index,english_name,hindi_name,english_one_line,hindi_one_line
766,Sarvaayudhavishaaradaaya,सर्वायुधविशारदाय,Salutations To The one who is a supreme expert and master of all forms of weapons.,सभी प्रकार के शस्त्रों के सर्वोच्च विशेषज्ञ और स्वामी को नमन।
767,Sulabhaaya,सुलभाय,Salutations To The one who is easily accessible and attainable for his true devotees.,अपने सच्चे भक्तों के लिए आसानी से सुलभ और प्राप्य होने वाले को नमन।
768,Suudanaaya,सूदनाय,Salutations To The one who is the great and mighty slayer of all evil forces.,सभी बुरी शक्तियों का नाश करने वाले महान और पराक्रमी को नमन।
769,Shuddhaaya,शुद्धाय,"Salutations To The one who is eternally pure, clean, and free from all defilement.","जो शाश्वत रूप से शुद्ध, स्वच्छ और सभी दोषों से मुक्त हैं, उन्हें नमन।"
770,Shubhaamshave,शुभांशवे,Salutations To The one whose rays and emanations are supremely auspicious.,"जिनकी किरणें और उत्सर्जन परम शुभ हैं, उन्हें नमन।"
771,Shuddhavigrahaaya,शुद्धविग्रहाय,Salutations To The one who possesses a divine form that is perfectly pure and untainted.,ऐसे देवत्व को नमन जिनका दिव्य रूप पूर्णतः शुद्ध और पवित्र है।
772,Suvarnaaya,सुवर्णाय,"Salutations To The one who is of a beautiful, golden color, or who is the source of all gold.","जो सुंदर, सुनहरे रंग के हैं, या जो सभी स्वर्ण के स्रोत हैं, उनको नमन।"
773,Svaashrayaaya,स्वाश्रयाय,"Salutations To The one who is self-dependent, the ultimate support of himself.","जो आत्म-निर्भर हैं, अपने आप के परम आधार हैं, उन्हें नमन।"
774,Shatrave,शत्रवे,Salutations To The one who is a formidable and destructive enemy Salutations To The  wicked.,उन सभी दुष्टों और शत्रुओं को मेरा नमन जो दुर्जेय और विनाशकारी हैं।
775,Shatrujite,शत्रुजिते,Salutations To The one who is the absolute conqueror of all his enemies.,अपने सभी शत्रुओं पर पूर्ण विजय प्राप्त करने वाले को नमन।
776,Shatrutaapanaaya,शत्रुतापनाय,Salutations To The one who causes great torment and heat to his enemies.,अपने शत्रुओं को भीषण कष्ट/पीड़ा और ताप देने वाले को नमन।
777,Shanaye,शनये,"Salutations To The one who moves slowly, the planet Saturn, who bestows the fruits of karma.","जो धीरे चलते हैं, शनि ग्रह को नमन, जो कर्मों के फल प्रदान करते हैं।"
778,Suuryaaya,सूर्याय,"Salutations To The one who is the divine sun, the source of all light and life.","सभी प्रकाश और जीवन के स्रोत, दिव्य सूर्य स्वरूप को नमन।"
779,Sarvakarmane,सर्वकर्मणे,Salutations To The one who is the agent and witness of all actions in the universe.,ब्रह्मांड में सभी क्रियाओं के कर्ता और साक्षी (स्वरूप) को नमन।
780,Sarvalokaprajaapataye,सर्वलोकप्रजापतये,Salutations To The one who is the lord and progenitor of all beings in all the worlds.,समस्त लोकों के सभी प्राणियों के स्वामी और जनक को नमन।
781,Siddhaaya,सिद्धाय,"Salutations To The one who is the perfected being, the eternally accomplished one.","सिद्ध स्वरूप, जो शाश्वत रूप से पूर्ण हैं, उनको नमन।"
782,Sarveshvaraaya,सर्वेश्वराय,Salutations To The one who is the supreme lord and master of all existence.,समस्त अस्तित्व के सर्वोच्च स्वामी और प्रभु (सर्वेश्वर) को नमन।
783,Svastaye,स्वस्तये,Salutations To The one who is the ultimate source of all well-being and good fortune.,सभी कल्याण और सौभाग्य के परम स्रोत को नमन।
784,Svastikrite,स्वस्तिकृते,Salutations To The one who is the creator and bringer of all auspiciousness.,सभी शुभता के निर्माता और लाने वाले (कालभैरव) को नमन।
785,Svastibhuje,स्वस्तिभुजे,Salutations To The one who enjoys and partakes in all that is auspicious.,उन को नमन जो सभी शुभता का आनंद लेते हैं और उसमें भाग लेते हैं।
786,Svadhaayai,स्वधायै,Salutations To The one who is the sacred sacrificial offering (Svadha) made Salutations To The  ancestors.,पितरों को की जाने वाली पवित्र यज्ञीय आहुति (स्वधा) के स्वरूप को नमन।
787,Vasave,वासवे,"Salutations To The one who is the embodiment of goodness, radiance, and wealth.","अच्छाई, तेज और धन के साक्षात स्वरूप को नमन।"
788,Vasumanase,वसुमनसे,"Salutations To The one who possesses a benevolent, kind, and excellent mind.","जिनका मन परोपकारी, दयालु और उत्कृष्ट है, उन्हें नमन।"
789,Satyaaya,सत्याय,"Salutations To The one who is the ultimate truth, the absolute and unchanging reality.","जो परम सत्य हैं, पूर्ण और अपरिवर्तनीय वास्तविकता हैं, उनको नमन।"
790,Sarvapaapaharaaya,सर्वपापहराय,Salutations To The one who is the supreme remover and destroyer of all sins.,सभी पापों के सर्वोच्च निवारक और विनाशक (भैरव) को नमन।
791,Haraaya,हराय,"Salutations To The one who is the great seizer, the one who forcibly removes all sins, sorrows, and ignorance.","महान हरण करने वाले, जो सभी पापों, दुखों और अज्ञान को बलपूर्वक हर लेते हैं, उन्हें नमन।"
792,Sarvaadaye,सर्वादि,Salutations To The one who is the primordial beginning and origin of all things.,सभी वस्तुओं के आदि और उद्गम को नमन।
793,Siddhidaaya,सिद्धिदाय,Salutations To The one who is the generous bestower of all supernatural powers and accomplishments (siddhis).,सभी अलौकिक शक्तियों और सिद्धियों के उदार दाता को नमन।
794,Siddhaye,सिद्धये,Salutations To The one who is the embodiment of spiritual accomplishment and perfection itself.,आध्यात्मिक सिद्धि और पूर्णता के साक्षात् स्वरूप को नमन।
795,Sarvaavaasaaya,सर्वावासाय,Salutations To The one who is the ultimate abode and dwelling place for all beings.,सभी प्राणियों के लिए अंतिम निवास और आश्रय स्थान स्वरूप को नमन।
796,Catushpathaaya,चतुष्पथाय,"Salutations To The one who is at the crossroads of the four paths, representing all possible directions and destinies.","जो चारों मार्गों के चौराहे पर स्थित हैं, सभी संभावित दिशाओं और गंतव्यों का प्रतिनिधित्व करते हैं, उन्हें नमन।"
797,Samvatsarakaraaya,संवत्सरकराय,Salutations To The one who is the creator of the cycle of years (Samvatsara).,संवत्सर (वर्षचक्र) के निर्माता को नमन।
798,Shriimate,श्रीमते,"Salutations To The one who is glorious, prosperous, and endowed with all divine splendors (Shri).","जो महिमामय, समृद्ध और सभी दिव्य वैभवों (श्री) से संपन्न हैं, उन्हें नमन।"
799,Shaantaaya,शान्ताय,"Salutations To The one who is perfectly peaceful, calm, and eternally tranquil.","जो पूर्णतया शांत, स्थिर और शाश्वत रूप से प्रशांत हैं, उन्हें नमन।"
800,Samvatsaraaya,संवत्सराय,"Salutations To The one who is the embodiment of the year, the cycle of time itself.","जो वर्ष, कालचक्र का ही मूर्त स्वरूप है, उन्हें नमस्कार।"
801,Shishave,शिशवे,Salutations To The one who takes the innocent and pure form of a child.,शिशु के निर्दोष और पवित्र रूप धारण करने वाले को नमन।
802,Spashtaaksharaaya,स्पष्टाक्षराय,"Salutations To The one who is the clear, distinct, and imperishable syllable (Aum).","उस स्पष्ट, विशिष्ट और अविनाशी अक्षर (ॐ) स्वरूप को नमन।"
803,Sarvahaarine,सर्वहारिणे,Salutations To The one who is the great destroyer and withdrawer of all things at the end of time.,समय के अंत में सभी चीजों का विनाश करने वाले और वापस लेने वाले को नमन।
804,Sanggraamaaya,संग्रामय,"Salutations To The one who is the embodiment of battle, the cosmic war against evil.","युद्ध के अवतार, बुराई के खिलाफ ब्रह्मांडीय युद्ध के स्वरूप को नमन।"
805,Sanggamaaya,संग्गमाय,"Salutations To The one who is the sacred confluence, the perfect union of all things.","उस पवित्र संगम को नमन, जो सभी वस्तुओं का पूर्ण मिलन है।"
806,Plavaaya,प्लवाय,Salutations To The one who is the divine ferry-boat that carries souls across the ocean of worldly existence.,"जो संसार सागर से आत्माओं को पार कराने वाली दिव्य नौका हैं, उनको नमन।"
807,Ishtaaya,इष्टाय,"Salutations To The one who is the most beloved, the chosen and worshipped deity.","जो सबसे प्रिय हैं, चुने हुए और पूजे जाने वाले देवता हैं, उन्हें नमन।"
808,Vishishtaaya,विशिष्टाय,"Salutations To The one who is the most excellent, distinguished, and unique of all.","जो सभी में सबसे उत्कृष्ट, विशिष्ट और अद्वितीय हैं, उन्हें नमन।"
809,Shishteshtaaya,शिष्टेष्टाय,"Salutations To The one who is dearly beloved by the righteous, the wise, and the disciplined.","शिष्ट, बुद्धिमान और अनुशासित लोगों द्वारा अत्यंत प्रिय को नमन।"
810,Sulabhaaya,सुलभाय,Salutations To The one who is easy to attain and approach for his sincere devotees.,अपने सच्चे भक्तों के लिए सहज सुलभ और प्राप्त होने वाले देव को नमन।
811,Sulabhaayanaaya,सुलभायनाय,Salutations To The one whose path is easy to follow for the pure of heart.,"जिनके मार्ग का अनुसरण शुद्ध हृदय वालों के लिए सरल है, उनको नमन।"
812,Subrahmanyaaya,सुब्रह्मण्याय,"Salutations To The one who is dear Salutations To The  Brahmins and is the embodiment of sacred knowledge, Lord Subrahmanya.","जो ब्राह्मणों को प्रिय हैं और पवित्र ज्ञान के मूर्त स्वरूप हैं, उन भगवान सुब्रह्मण्य को नमन।"
813,Suraganaaya,सुरगणाय,Salutations To The one who is the divine leader of the celestial hosts of gods.,देवताओं की स्वर्गीय सेनाओं के दिव्य नेता को नमन।
814,Susharanyaaya,सुशरण्याय,Salutations To The one who is the most excellent and supreme refuge for all beings.,सभी प्राणियों के लिए अत्यंत उत्कृष्ट और सर्वोच्च आश्रयभूत को नमन।
815,Sudhaapataye,सुधापतये,Salutations To The one who is the divine lord and master of the immortal nectar (Sudha).,अमर अमृत (सुधा) के दिव्य स्वामी और प्रभु को नमन।
816,Sharanyaaya,शरण्याय,"Salutations To The one who is the ultimate refuge, worthy of being sought for absolute protection.","परम शरण के योग्य, जो परम रक्षा के लिए खोजे जाने योग्य हैं, उन्हें नमन।"
817,Shaashvataaya,शाश्वताय,"Salutations To The one who is eternal, permanent, and unchanging.","जो शाश्वत, स्थायी और अपरिवर्तनीय हैं, उन्हें नमन।"
818,Skandaaya,स्कंदाय,"Salutations To The one who is the attacker or the 'spilled one', Lord Kartikeya.","जो आक्रमणकारी या 'बिखरे हुए' हैं, भगवान कार्तिकेय को नमन।"
819,Shipivishtaaya,शिपिविष्टाय,"Salutations To The one who is pervaded by rays of light, or who is like an uncovered sacrificial animal (symbolizing the Self).","प्रकाश की किरणों से व्याप्त रहने वाले, या अनावरित यज्ञपशु के समान (जो आत्मा का प्रतीक है) को नमन।"
820,Shivaashrayaaya,शिवाश्रयाय,Salutations To The one who is the ultimate foundation and supreme shelter of all that is auspicious.,उन परम देव को नमन जो परम कल्याणकारी आश्रय हैं।
821,Samsaaracakrabhrite,संसारचक्रभृते,Salutations To The one who holds and sustains the great wheel of worldly existence (samsara).,संसार के महान पहिए (संसार) को धारण करने वाले और बनाए रखने वाले को नमन।
822,Saaraaya,साराय,"Salutations To The one who is the ultimate essence, the highest and most fundamental reality.","जो परम सार, सर्वोच्च और सबसे मौलिक वास्तविकता हैं, उन्हें नमन।"
823,Shangkaraaya,शंकराय,"Salutations To The one who is the bringer of peace, happiness, and auspiciousness.","शांति, सुख और शुभता लाने वाले (शंकर) को नमन।"
824,Sarvasaadhakaaya,सर्वसाधकाय,Salutations To The one who is the ultimate means for accomplishing all goals and desires.,सभी लक्ष्यों और इच्छाओं को पूरा करने के परम साधनस्वरूप को नमन।
825,Asraaya,अस्त्राय,"Salutations To The one who is the divine, supernatural missile or weapon.","दिव्य, अलौकिक मिसाइल या अस्त्र स्वरूप को नमन।"
826,Shastraaya,शस्त्राय,"Salutations To The one who is the sacred, hand-held weapon of divine power.","पवित्र एवं दिव्य शक्ति के धारक, हाथ में शस्त्र धारण करने वाले को नमन।"
827,Saptaganaaya,सप्तगनाय,Salutations To The one who is attended by the seven groups of celestial beings.,उन भगवान को नमन जिनकी सात स्वर्गिक प्राणियों के समूहों द्वारा सेवा की जाती है।
828,Savitre,सवित्रे,"Salutations To The one who is the divine impeller, the radiant sun god Savitr.","दिव्य प्रेरक, तेजस्वी सूर्य देवता सविता को नमन।"
829,Sakalaagamaaya,सकलागमाय,Salutations To The one who is the ultimate source and embodiment of all sacred scriptures (Agamas).,समस्त पवित्र शास्त्रों (आगमों) के परम स्रोत और साकार रूप को नमन।
830,Suciiraaya,सुचीराय,Salutations To The one who is of a very noble and excellent lineage.,"जो अत्यंत श्रेष्ठ और उत्कृष्ट वंश के हैं, उन्हें नमन।"
831,Saptadorviiraaya,सप्तदोर्वीराय,Salutations To The one who is the great hero with seven mighty arms.,सात शक्तिशाली भुजाओं वाले महान वीर को नमन।
832,Shadvimshaaya,षड्विंशायाय,"Salutations To The one who is the twenty-sixth principle, the Purusha, beyond the 25 tattvas.","पच्चीस तत्त्वों से परे, पुरुष रूपी छब्बीसवें सिद्धांत को नमन।"
833,Sarvadhrishe,सर्वदृशे,Salutations To The one who is the all-seeing witness of the entire universe.,समस्त ब्रह्मांड के सर्वदृष्टा साक्षी को नमन।
834,Svaraaje,स्वाराजे,"Salutations To The one who is self-ruling, the absolute and independent sovereign.","जो स्वयं शासन करने वाले, परम और स्वतंत्र सम्राट हैं, उनको नमन।"
835,Samraaje,सम्राजे,"Salutations To The one who is the supreme emperor, the ruler of all other kings.","जो सर्वोच्च सम्राट हैं, अन्य सभी राजाओं के शासक हैं, उन्हें नमन।"
836,Sushenaaya,सुषेणाय,"Salutations To The one who possesses a beautiful, victorious, and divine army.","सुंदर, विजयी और दिव्य सेना वाले को नमन।"
837,Shatrughnaaya,शत्रुघ्नाय,Salutations To The one who is the absolute destroyer and slayer of all enemies.,सभी शत्रुओं का पूर्ण रूप से नाश करने वाले (शत्रुघ्न) को नमन।
838,Shuurashatrave,शूरशत्रवे,Salutations To The one who is a formidable enemy to all the heroic yet wicked demons.,"उन वीरों के शत्रु, जो सभी पराक्रमी फिर भी दुष्ट राक्षसों के लिए एक दुर्जेय शत्रु हैं, उन्हें नमन।"
839,Shubhodayaaya,शुभोट्यावाय,"Salutations To The one whose appearance brings auspiciousness, prosperity, and good fortune.","जिनकी उपस्थिति शुभता, समृद्धि और सौभाग्य लाती है, उनको नमन।"
840,Samarthaaya,समर्थाय,"Salutations To The one who is all-powerful, supremely capable, and competent in every respect.","जो सर्वशक्तिमान, अत्यंत सक्षम और हर तरह से योग्य हैं, उन्हें नमन।"
841,Sugamaaya,सुगमाय,"Salutations To The one who is easy to approach, whose path is smooth and accessible.","उन भगवान को नमन, जिनके पास जाना सुगम है, जिनका मार्ग सरल और सर्वसुलभ है।"
842,Shukraaya,शुक्राय,"Salutations To The one who is brilliantly pure, radiant, and the planet Venus (Shukra), the preceptor of the demons.","जो अत्यंत शुद्ध, तेजोमय और दैत्यों के आचार्य (शुक्र ग्रह) हैं, उन्हें नमन।"
843,Sadyogine,सद्योगिने,"Salutations To The one who instantly unites with his devotees, the true and perfect yogi.","जो तुरंत अपने भक्तों के साथ एकाकार हो जाते हैं, उन सच्चे और पूर्ण योगी को नमन।"
844,Sadasanmayaaya,सदासन्मयाय,Salutations To The one who is the embodiment of both existence (sat) and non-existence (asat).,"जो अस्तित्व (सत्) और गैर-अस्तित्व (असत्) दोनों के साक्षात स्वरूप हैं, उन्हें नमन।"
845,Shaasranetraaya,शास्रनेतृाय,Salutations To The one who sees the world through the eyes of a thousand sacred scriptures.,संसार को सहस्र पवित्र धर्मग्रंथों की आँखों से देखने वाले (कालभैरव) को नमन।
846,Sukhashmashrave,सुखश्मश्रवे,"Salutations To The one who has pleasant and auspicious ears, who hears all sacred sounds.","सुखद और शुभ कान वाले, जो सभी पवित्र ध्वनियाँ सुनते हैं, उन्हें नमन।"
847,Svaadhishthaanashadaashrayaaya,स्वाधिष्ठानषडाश्रयाय,Salutations To The one who is the sixfold foundation of the Svadhisthana chakra.,स्वाधिष्ठान चक्र के छह गुना आधार स्वरूप को नमन।
848,Praamshave,प्रांशवे,"Salutations To The one who is of a tall, imposing, and magnificent stature.","जिनका कद लंबा, प्रभावशाली और भव्य है, उनको नमन।"
849,Saptapataye,सप्तपतये,"Salutations To The one who is the lord of the seven worlds, the seven sages, or the seven cosmic planes.","सात लोकों, सप्तर्षियों, या सात ब्रह्मांडीय तलों के स्वामी को नमन।"
850,Vriddhaaya,वृद्धाय,"Salutations To The one who is ancient, old, wise, and venerable.","जो प्राचीन, वृद्ध, बुद्धिमान और माननीय हैं, उन्हें नमन।"
851,Shamanaaya,शमनाय,"Salutations To The one who is the great pacifier, who brings peace and quells all disturbances.","शांत करने वाले, शांति प्रदान करने वाले और सभी कष्टों को हरने वाले को नमन।"
852,Shikhisaarathaye,शिखिसारथये,Salutations To The one who has the divine fire (Shikhi) as his charioteer.,"जिनके सारथी दिव्य अग्नि (शिखि) हैं, उन्हें नमन।"
853,Supratiikaaya,सुप्रतीकाय,"Salutations To The one who has a beautiful, excellent, and auspicious form.","जिनके पास एक सुंदर, उत्कृष्ट और शुभ रूप है, उन्हें नमन।"
854,Suvriddhaatmane,सुवृद्धात्मने,"Salutations To The one whose soul is supremely virtuous, well-developed, and righteous.","जिनकी आत्मा परम गुणी, सुविकसित और धर्मपरायण है, उन्हें नमन।"
855,Samsrishtaaya,संसृष्टाय,Salutations To The one who is perfectly united and mingled with all of creation.,समस्त सृष्टि के साथ पूर्णतः संयुक्त और मिश्रित स्वरूप को नमन।
856,Sukhavaangnidhaye,सुखवांग्निधये,Salutations To The one who is a treasure-house of pleasant speech and happy words.,सुखद वाणी और मधुर शब्दों के भंडार को नमन।
857,Sukhaanilaaya,सुखानिळाया,"Salutations To The one who is like a pleasant and gentle breeze, bringing comfort and joy.","उस सुखद और कोमल समीर के समान स्वरूप को नमन, जो आराम और प्रसन्नता लाता है।"
858,Susampannaaya,सुसंपन्नाय,"Salutations To The one who is endowed with great wealth, prosperity, and all divine qualities.","जो महान धन, समृद्धि और सभी दिव्य गुणों से संपन्न हैं, उन्हें नमन।"
859,Surabhaye,सुरभये,"Salutations To The one who is fragrant, charming, and the celestial wish-fulfilling cow (Surabhi).","सुगंधित, आकर्षक, और दिव्य इच्छा पूरी करने वाली गाय (सुरभि) के स्वरूप को नमन।"
860,Shishiraatmakaaya,शिशिरआत्मकाय,"Salutations To The one who is cool and refreshing like the winter season, the very soul of coolness.","जो शीत ऋतु के समान शांत और स्फूर्तिदायक हैं, शीतलता के ही स्वरूप हैं, उन्हें नमन।"
861,Sarvadevamayaaya,सर्वदेवमयाय,Salutations To The one who is composed of and contains all the gods within himself.,"जो सभी देवताओं से युक्त हैं और अपने भीतर सभी देवताओं को समाहित किए हुए हैं, उन्हें नमन।"
862,Shailaaya,शैलाय,"Salutations To The one who is the mighty, unshakeable mountain.","जो शक्तिशाली, अटल पर्वत स्वरूप हैं, उन्हें नमन।"
863,Sarvashaastraprabhanjanaaya,सर्वशास्त्रप्रभंजनाय,Salutations To The one who is the great shatterer of the arguments of all other schools of thought.,समस्त अन्य मतों के तर्कों को विखंडित करने वाले को नमन।
864,Shivaalayaaya,शिवालयया,Salutations To The one who is the sacred and auspicious abode of Shiva.,"जो शिव का पवित्र और शुभ निवास स्थान है, उन्हें नमन।"
865,Suuryaruupaaya,सूर्यरूपाय,Salutations To The one who has the brilliant and radiant form of the sun.,तेजस्वी और कांतिमान सूर्य के स्वरूप वाले को नमन।
866,Sahasramukhanaashakaaya,सहस्रमुखनाशकाय,Salutations To The one who is the destroyer of the thousand-faced demon.,सहस्रमुखी राक्षस का नाश करने वाले को नमन।
867,Sahasrabaahave,सहस्रबाहवे,Salutations To The one who possesses a thousand mighty and powerful arms.,उन सहस्र भुजाओं वाले को नमन।
868,Sarveshaaya,सर्वेशाय,Salutations To The one who is the supreme lord and master of all.,सभी के परम स्वामी और प्रभु को नमन।
869,Saaramaaya,सारमाय,Salutations To The one who is the embodiment of all essence and the highest truth.,सभी सार और परम सत्य के मूर्त स्वरूप को नमन।
870,Sarvalokadhrite,सर्वलोकधृते,Salutations To The one who is the ultimate supporter and upholder of all the worlds.,सभी लोकों के परम समर्थक और धारणकर्ता को नमन।
871,Duutyamshaaya,दूत्यांशाय,Salutations To The one who has a portion of the divine messenger's power.,दिव्य दूत की शक्ति के अंश स्वरूप को नमन।
872,Surasevyaamshaaya,सुरसेव्यमंशाय,Salutations To The one who has a part that is worshipped by all the divine gods.,सभी दिव्य देवताओं द्वारा पूजे जाने वाले अंश स्वरूप को नमन।
873,Sarvadevottamottamaaya,सर्वदेवोत्तमत्तमाय,Salutations To The one who is the absolute best among the best of all the gods.,सभी देवताओं में सर्वश्रेष्ठ से भी सर्वश्रेष्ठ को नमन।
874,Shivadhyaanarataaya,शिवाध्यानरताय,Salutations To The one who is constantly and deeply absorbed in the meditation of Shiva.,शिव के ध्यान में निरंतर और गहराई से लीन रहने वाले को नमन।
875,Shriimate,श्रीमते,"Salutations To The one who is possessed of all divine glory, wealth, and auspiciousness (Shri).","दैवीय महिमा, धन और शुभता (श्री) से युक्त व्यक्ति को नमन।"
876,Shikhine,शिखिने,"Salutations To The one who has a top-knot or a crest, like a peacock.",मोर की शिखा के समान शिखा धारण करने वाले को नमन।
877,Shriicandikaadhipaaya,श्रीचण्डिकाधिपाय,Salutations To The one who is the supreme lord of the glorious goddess Chandika.,महिमामयी देवी चण्डिका के सर्वोच्च स्वामी को नमन।
878,Shmashaananilayaaya,श्मशाननिलायाय,Salutations To The one who has the cremation ground as his sacred and chosen abode.,श्मशान घाट को अपने पवित्र और चुने हुए निवास स्थान के रूप में रखने वाले को नमन।
879,Setave,सेतवे,Salutations To The one who is the sacred bridge that allows one to cross the ocean of worldly existence.,संसार सागर को पार कराने वाले पवित्र सेतु को नमन।
880,Sarvadevaaya,सर्वदेवाय,Salutations To The one who is the God of all gods.,सभी देवताओं के देव को नमन।
881,Maheshvaraaya,महेश्वराय,Salutations To The one who is the great and supreme Lord.,"जो महान और सर्वोच्च भगवान हैं, उनको नमन।"
882,Suvishtapine,सुविष्ठपिने,"Salutations To The one who is the beautiful, sacred branch or the well-established peak.","सुंदर, पवित्र शाखा या सुस्थापित शिखर वाले को नमन।"
883,Suraaraadhyaaya,सुराराध्याय,Salutations To The one who is worthy of being worshipped by all the divine gods.,सभी दिव्य देवताओं द्वारा पूजे जाने योग्य (सुराराध्य) को नमन।
884,Sukumaaraaya,सुकुमाराय,"Salutations To The one who is exceedingly tender, delicate, and beautiful.","अत्यंत कोमल, नाजुक और सुंदर स्वरूप वाले (भगवान को) नमन।"
885,Sulocanaaya,सुलोचनाय,"Salutations To The one who possesses beautiful, captivating eyes.","सुंदर, मनमोहक नेत्रों वाले (देवता) को नमन।"
886,Sakalaaya,सकलाय,"Salutations To The one who is complete, whole, with all parts, and the manifest form of reality.","जो पूर्ण, समग्र, सभी अंगों से युक्त और वास्तविकता का व्यक्त रूप हैं, उन्हें नमन।"
887,Sumataaya,सुमताय,"Salutations To The one who possesses a good, noble, and benevolent mind.","उत्तम, कुलीन और उदार मन वाले (भगवान कालभैरव) को नमन।"
888,Svarnaaya,स्वर्णाय,"Salutations To The one who is the precious and radiant metal, gold.","जो मूल्यवान और तेजोमय धातु, सोना है, उन्हें नमन।"
889,Svarmine,स्वर्मिणे,Salutations To The one who is the lord of heaven (Svarga).,स्वर्ग के स्वामी को नमन।
890,Svaramathanaaya,स्वरमथनाय,Salutations To The one who churns the celestial ocean of musical notes.,संगीत के स्वरों के स्वर्गीय महासागर का मंथन करने वाले को नमन।
891,Svanaaya,स्वनाय,"Salutations To The one who is the divine, resonant sound.","दिव्य, गुंजायमान ध्वनि स्वरूप को नमन।"
892,Saamagaaya,सामगाय,Salutations To The one who is the supreme singer of the sacred Sama Veda chants.,पवित्र सामवेद के मंत्रों के सर्वोच्च गायक को नमन।
893,Sakalaadhaaraaya,सकलाधाराय,Salutations To The one who is the ultimate foundation and support of everything.,समस्त सृष्टि के परम आधार और अवलंब को नमन।
894,Saamagaanapriyaaya,सामगानप्रियाय,Salutations To The one who is deeply fond of the singing of the Sama Veda.,सामवेद के गायन के अत्यंत प्रिय को नमन।
895,Shucaye,शुचये,"Salutations To The one who is perfectly pure, clean, and radiant.","जो पूर्णतः शुद्ध, स्वच्छ और तेजस्वी हैं, उन्हें नमन।"
896,Tasmai,तस्मै,"To 'That' one, the ultimate, indescribable reality.","उस 'एक', परम, अवर्णनीय सत्ता को।"
897,Iitaye,ईतिषे,Salutations To The one who is the embodiment of all that is desired and sought after.,सभी वांछित और अभीप्सित के मूर्त स्वरूप को नमन।
898,Satkritaaya,सत्कृताय,"Salutations To The one who is honored, worshipped, and well-respected by all.","जो सभी के द्वारा सम्मानित, पूजित और अति आदरणीय हैं, उन्हें नमन।"
899,Shaantaaya,शान्ताय,"Salutations To The one who is supremely peaceful, calm, and untroubled.","परम शांतिपूर्ण, शांत और प्रशांत रहने वाले को नमन।"
900,Subhuumaye,सुभूमये,"Salutations To The one who is the good and beautiful earth, the firm foundation.","अच्छी और सुंदर पृथ्वी, दृढ़ आधार वाले (भगवान कालभैरव) को नमन।"
901,Satparaayanaaya,सत्परायणाय,Salutations To The one who is the supreme and ultimate goal for all truthful and virtuous beings.,सभी सत्यनिष्ठ और पुण्यात्माओं के लिए परम और अंतिम लक्ष्य स्वरूप को नमन।
902,Shriivallabhaaya,श्रीवल्लभाय,"Salutations To The one who is the beloved consort of Shri (Goddess Lakshmi), a name usually for Vishnu but here indicating supreme prosperity.","उन भगवान को नमन जो श्री (देवी लक्ष्मी) के प्रिय पति हैं, यह नाम सामान्यतः विष्णु के लिए प्रयुक्त होता है, पर यहाँ यह सर्वोच्च समृद्धि का सूचक है।"
903,Shivaarambhaaya,शिवायंभ्याय,Salutations To The one who is the auspicious beginning of all things.,सभी चीजों के शुभ आरंभकर्ता को नमन।
904,Shaantabhadraaya,शान्तभद्राय,"Salutations To The one who is peaceful, gentle, and supremely auspicious.","जो शांत, सौम्य और परम शुभकारी हैं, उनको नमन।"
905,Samanjasaaya,समंजसाय,"Salutations To The one who is proper, right, and perfectly harmonious.","जो उचित, सही और पूर्णतः सामंजस्यपूर्ण हैं, उन्हें नमन।"
906,Satyavaace,सत्यवाचे,Salutations To The one whose speech is always and unfailingly true.,"जिनकी वाणी सदैव और अचूक रूप से सत्य होती है, उनको नमन।"
907,Saatvikaaya,सात्विकाय,"Salutations To The one who is the embodiment of the quality of purity, goodness, and truth (Sattva).","सत्वगुण, पवित्रता, अच्छाई और सत्य के साक्षात् स्वरूप को नमन।"
908,Satyaaya,सत्याय,"Salutations To The one who is the absolute, unchanging truth and reality.","जो परम, अपरिवर्तनीय सत्य और वास्तविकता हैं, उनको नमन।"
909,Sarvajite,सर्वजिते,"Salutations To The one who is the all-conquering, victorious over everything.","समस्त पर विजयी, सब कुछ जीतने वाले को नमन।"
910,Shrutisaagaraaya,श्रुतिसागराय,Salutations To The one who is a vast and deep ocean of all sacred learning (Shruti).,सभी पवित्र विद्याओं (श्रुति) के विशाल और गहरे सागर (श्रुतिसागर) को नमन।
911,Sahasraarcishe,सहस्रार्चिषे,Salutations To The one who possesses a thousand brilliant rays of light.,उन भगवान को नमन जिनकी हजारों तेजस्वी प्रकाश किरणें हैं।
912,Sadaajishnave,सदाजिष्णवे,Salutations To The one who is always victorious and ever-triumphant.,"जो सदैव विजयी और हमेशा सफल रहते हैं, उन्हें नमन।"
913,Saptaye,सप्ताये,"Salutations To The one who is the divine, swift horse, or the number seven.","दिव्य, तीव्र अश्व या सात संख्या वाले को नमन।"
914,Saptajaneshvaraaya,सप्तजनेश्वराय,Salutations To The one who is the supreme lord of the seven types of people or the seven worlds.,सात प्रकार के लोगों या सात लोकों के सर्वोच्च स्वामी को नमन।
915,Samhaarakaaranaaya,संहारककारणाय,Salutations To The one who is the ultimate cause of the cosmic dissolution and destruction.,"जो ब्रह्मांडीय विघटन और विनाश का परम कारण हैं, उन्हें नमन।"
916,Shuddhaaya,शुद्धाय,Salutations To The one who is spotlessly pure and eternally clean.,"जो निष्कलंक शुद्ध और अनंतकाल से स्वच्छ हैं, उन्हें नमन।"
